customer_id,first_name,order_id,title,order_date,order_year,order_month,order_day,order_weekday,is_weekend,title_length,total_orders_x,recency_days_x,word_count,recency_days_y,total_orders_y,recency_days,is_churn,total_orders
43,La verne,43,The Armies of the Night: History as a Novel  the Novel as History,2023-07-27 02:21:48.408012,2023,7,27,3,0,65,40,62,13,62,40,62,0,40
44,Nicolina,44,Savage Inequalities: Children in America's Schools,2022-01-15 06:37:24.667212,2022,1,15,5,1,50,43,24,6,24,41,24,0,41
45,Zora,45,Life Is a Caravanserai,2022-01-13 08:45:20.702412,2022,1,13,3,0,22,47,33,4,33,47,33,0,47
46,Hilary,46,Philosophical Investigations,2024-04-01 13:24:33.316812,2024,4,1,0,0,28,48,45,2,45,47,45,0,47
47,Cissy,47,In the Name of Love and Other True Cases (Crime Files  #4),2023-09-07 07:26:05.505612,2023,9,7,3,0,58,48,75,12,75,48,75,0,48
48,Stephi,48,The Blue and Brown Books,2024-10-30 12:25:35.668812,2024,10,30,2,0,24,41,24,5,24,40,24,0,40
49,Lynda,49,Sand and Foam,2024-02-26 02:45:42.820812,2024,2,26,0,0,13,44,45,3,45,43,45,0,43
50,Melisse,50,Love Visions,2022-04-12 19:16:09.777612,2022,4,12,1,0,12,53,141,2,141,52,141,0,52
51,Ignacius,51,Stay!: Keeper's Story,2023-02-06 22:47:46.257612,2023,2,6,0,0,21,49,35,3,35,48,35,0,48
52,Levy,52,Rule #1: The Simple Strategy for Successful Investing in Only 15 Minutes a Week!,2023-10-27 23:46:47.188812,2023,10,27,4,0,80,42,102,14,102,40,102,0,40
53,Garold,53,De Kooning: An American Master,2023-08-30 18:59:25.550412,2023,8,30,2,0,30,45,46,5,46,45,46,0,45
54,Verene,54,Diary,2024-09-06 05:28:03.470412,2024,9,6,4,0,5,49,41,1,41,49,41,0,49
55,Sianna,55,The Man Who Watched Trains Go By,2022-07-13 04:03:36.110412,2022,7,13,2,0,32,51,157,7,157,48,157,0,48
56,Billi,56,One Hundred Years of Solitude,2024-04-30 20:53:05.620812,2024,4,30,1,0,29,44,61,5,61,41,61,0,41
58,Jeni,58,Happy Birthday to You!,2024-12-11 18:43:19.598412,2024,12,11,2,0,22,45,34,4,34,44,34,0,44
59,Emylee,59,Westminster Abby,2024-06-04 17:13:25.992012,2024,6,4,1,0,16,48,37,2,37,47,37,0,47
60,Kincaid,60,Anti-Semite and Jew: An Exploration of the Etiology of Hate,2023-05-11 10:26:03.950412,2023,5,11,3,0,59,48,243,10,243,46,243,1,46
61,Joly,61,Letter to a Man in the Fire: Does God Exist and Does He Care?,2023-06-20 21:53:17.918412,2023,6,20,1,0,61,50,106,14,106,50,106,0,50
62,Heywood,62,The Riverside Milton,2024-04-07 16:17:52.680012,2024,4,7,6,1,20,51,259,3,259,49,259,1,49
64,Zia,64,eBay for Dummies,2024-12-22 01:02:52.478412,2024,12,22,6,1,16,38,23,3,23,36,23,0,36
65,Noelle,65,Operation Spy School (Adam Sharp  #4),2023-01-29 08:57:10.219212,2023,1,29,6,1,37,50,79,6,79,48,79,0,48
66,Carlene,66,The Nicomachean Ethics,2024-11-11 13:31:24.926412,2024,11,11,0,0,22,46,64,3,64,45,64,0,45
67,Arlene,67,Storm of the Century,2024-08-08 10:23:24.196812,2024,8,8,3,0,20,51,33,4,33,50,33,0,50
68,Renado,68,Heaven's Price,2023-08-13 12:17:54.724812,2023,8,13,6,1,14,44,61,2,61,43,61,0,43
69,Verney,69,Fundamentals of Heat and Mass Transfer [with IHT/FEHT 3.0 CD with User Guide Set],2024-02-22 06:31:40.968012,2024,2,22,3,0,81,48,52,14,52,47,52,0,47
70,Antonella,70,Brown V. Board of Education: A Civil Rights Milestone and Its Troubled Legacy,2024-08-22 11:44:18.753612,2024,8,22,3,0,77,47,67,13,67,44,67,0,44
71,Corinne,71,The Lord of the Rings: Complete Visual Companion,2024-11-24 15:03:03.681612,2024,11,24,6,1,48,48,51,8,51,48,51,0,48
72,Gustavo,72,Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),2023-10-03 23:52:28.296012,2023,10,3,1,0,62,45,63,9,63,44,63,0,44
73,Ruthi,73,The Berenstain Bears and the Blame Game,2022-07-28 15:38:17.544012,2022,7,28,3,0,39,45,52,7,52,45,52,0,45
74,Ozzie,74,鋼の錬金術師 3 (Fullmetal Alchemist  #3),2024-02-03 14:57:27.499212,2024,2,3,5,1,34,41,63,5,63,41,63,0,41
75,Enrichetta,75,Nick & Norah's Infinite Playlist,2022-08-12 13:22:43.156812,2022,8,12,4,0,32,43,181,5,181,41,181,1,41
76,Randall,76,Gertrud The Great Of Helfta: Spiritual Exercises,2022-11-25 08:50:36.926412,2022,11,25,4,0,48,41,91,7,91,39,91,0,39
77,Bernhard,77,Planet of the Apes: Colony,2024-11-23 21:18:08.030412,2024,11,23,5,1,26,39,29,5,29,38,29,0,38
79,Lyn,79,Setting Free the Bears / The Water-Method Man / The 158-Pound Marriage,2022-07-07 02:41:02.366412,2022,7,7,3,0,70,38,173,12,173,36,173,0,36
80,Travus,80,Scribble  Scribble: Notes on the Media,2023-03-04 18:55:27.604812,2023,3,4,5,1,38,35,169,6,169,34,169,0,34
81,Moss,81,Hellstrom's Hive,2022-10-30 10:05:57.547212,2022,10,30,6,1,16,37,52,2,52,36,52,0,36
82,Giselle,82,Philosophy and the Mirror of Nature,2023-08-12 06:34:12.168012,2023,8,12,5,1,35,37,256,6,256,35,256,1,35
83,Berti,83,The Power of One (The Power of One  #1),2023-12-15 20:34:01.425612,2023,12,15,4,0,39,39,60,9,60,37,60,0,37
84,Gabriellia,84,Love Overboard,2022-09-14 14:19:53.582412,2022,9,14,2,0,14,45,100,2,100,43,100,0,43
85,York,85,La Torre Oscura VII - Tomo 2 of 2 (La Torre Oscura  #7),2023-06-26 08:11:47.496012,2023,6,26,0,0,55,36,22,13,22,34,22,0,34
86,Amitie,86,The French Kitchen: A Cookbook,2024-01-13 05:08:13.483212,2024,1,13,5,1,30,41,25,5,25,41,25,0,41
87,Tricia,87,Earthbound,2024-10-12 19:04:11.361612,2024,10,12,5,1,10,44,94,1,94,44,94,0,44
88,Marcelia,88,Notes from Underground & The Double,2023-02-21 17:25:32.443212,2023,2,21,1,0,35,36,109,6,109,35,109,0,35
89,Bennie,89,Divine Conspiracy: Rediscovering Our Hidden Life in God,2024-05-06 19:00:11.774412,2024,5,6,0,0,55,41,45,8,45,39,45,0,39
90,Lucas,90,Arctic Dreams,2022-01-04 16:53:28.056012,2022,1,4,1,0,13,40,30,2,30,39,30,0,39
91,Rozanna,91,The SantaLand Diaries and Season's Greetings,2024-01-07 18:53:51.182412,2024,1,7,6,1,44,41,274,6,274,41,274,1,41
92,Gustav,92,Burt Dow  Deep-Water Man,2024-03-15 11:32:49.454412,2024,3,15,4,0,24,35,108,4,108,35,108,0,35
93,Frannie,93,A Dirty Job (Grim Reaper  #1),2024-08-04 16:13:46.612812,2024,8,4,6,1,29,40,140,6,140,38,140,0,38
94,Leanor,94,Mother of Pearl,2023-03-06 00:00:43.454412,2023,3,6,0,0,15,42,198,3,198,40,198,1,40
95,Ardra,95,Who's Afraid of Virginia Woolf?,2022-10-15 02:11:49.915212,2022,10,15,5,1,31,38,26,5,26,37,26,0,37
96,Lannie,96,The Diamond Color Meditation: Color Pathway to the Soul,2022-11-14 00:50:33.931212,2022,11,14,0,0,55,37,72,9,72,35,72,0,35
97,Noellyn,97,Echo Burning (Jack Reacher  #5),2024-06-27 07:03:20.126412,2024,6,27,3,0,31,39,92,5,92,37,92,0,37
98,Coretta,98,The Woman in White,2023-08-26 02:21:28.104012,2023,8,26,5,1,18,34,81,4,81,34,81,0,34
99,Lianne,99,The spire  William Golding : notes,2022-05-15 03:27:17.448012,2022,5,15,6,1,34,40,45,6,45,40,45,0,40
100,Dud,100,Charlie and the Chocolate Factory (Abridged),2024-04-22 08:23:41.246412,2024,4,22,0,0,44,36,28,6,28,36,28,0,36
101,Nicolette,101,Mike Nelson's Death Rat!,2024-01-08 04:28:46.123212,2024,1,8,0,0,24,29,116,4,116,28,116,0,28
102,Didi,102,In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,2023-10-14 02:24:56.673612,2023,10,14,5,1,76,28,114,15,114,27,114,0,27
103,Cinda,103,Lum: Urusei Yatsura. Perfect Collection (Urusei Yatsura  #1),2022-01-23 05:13:17.697612,2022,1,23,6,1,60,33,27,8,27,33,27,0,33
104,Ann,104,The Brethren,2023-05-29 03:05:26.846412,2023,5,29,0,0,12,31,27,2,27,30,27,0,30
105,Carly,105,The Collected Poems of Robert Penn Warren,2022-08-30 14:09:23.467212,2022,8,30,1,0,41,28,29,7,29,24,29,0,24
106,Farrel,106,Shadowmarch (Shadowmarch  #1),2023-03-28 17:10:22.392012,2023,3,28,1,0,29,35,104,3,104,33,104,0,33
107,Estelle,107,The Hunters,2023-08-11 01:29:20.856012,2023,8,11,4,0,11,32,200,2,200,32,200,1,32
108,Orv,108,On Death and Dying,2023-03-27 17:26:15.556812,2023,3,27,0,0,18,28,79,4,79,28,79,0,28
109,Hermon,109,Hercule Poirot's Casebook (Hercule Poirot  #42),2024-05-12 09:19:01.166412,2024,5,12,6,1,47,33,35,6,35,33,35,0,33
110,Olympie,110,The Cat Who Knew Shakespeare (Cat Who...  #7),2023-01-18 20:29:09.912012,2023,1,18,2,0,45,27,115,8,115,27,115,0,27
111,Olympe,111,Lovely in Her Bones (Elizabeth MacPherson  #2),2022-08-07 08:23:29.236812,2022,8,7,6,1,46,25,71,7,71,24,71,0,24
112,Rodd,112,So Far from God: The U.S. War With Mexico  1846-1848,2023-09-21 13:04:30.715212,2023,9,21,3,0,52,33,149,10,149,33,149,0,33
113,Calypso,113,Mary Stewart's Merlin Trilogy (Arthurian Saga  #1-3),2024-03-11 00:21:35.217612,2024,3,11,0,0,52,28,146,7,146,28,146,0,28
114,Aurelie,114,The Unpublished David Ogilvy,2024-09-14 19:55:18.129612,2024,9,14,5,1,28,28,25,4,25,28,25,0,28
115,Zebulen,115,The Portable Thomas Jefferson,2023-03-23 15:37:49.032012,2023,3,23,3,0,29,29,88,4,88,26,88,0,26
116,Shae,116,Remember When (Foster Saga  #1),2024-09-10 02:12:31.819212,2024,9,10,1,0,31,25,126,5,126,24,126,0,24
117,Johnette,117,Shadow of the Hegemon (Shadow  #2),2023-11-03 05:08:01.041612,2023,11,3,4,0,34,34,27,6,27,34,27,0,34
118,Jocelyn,118,Paradise Lost,2023-10-16 12:39:25.281612,2023,10,16,0,0,13,32,32,2,32,31,32,0,31
119,Andree,119,The Soldiers' Tale: Bearing Witness to Modern War,2022-10-12 20:33:23.150412,2022,10,12,2,0,49,37,95,8,95,37,95,0,37
120,Monro,120,Dark Water's Embrace (Mictlan  #1),2022-05-25 01:40:31.147212,2022,5,25,2,0,34,29,108,5,108,28,108,0,28
121,Isidora,121,The Good Guy,2022-11-18 19:25:52.027212,2022,11,18,4,0,12,35,26,3,26,34,26,0,34
122,Reagen,122,Stardust of Yesterday (de Piaget  #9; de Paiget/MacLeod  #1),2022-12-16 00:22:15.998412,2022,12,16,4,0,60,29,124,9,124,29,124,0,29
123,Francine,123,Boy Meets Boy,2022-04-13 06:11:48.302412,2022,4,13,2,0,13,26,69,3,69,25,69,0,25
124,Modesta,124,Songbook,2022-02-22 19:07:58.075212,2022,2,22,1,0,8,31,181,1,181,31,181,1,31
125,Thaddeus,125,Interaction Ritual - Essays on Face-to-Face Behavior,2022-03-06 17:41:08.241612,2022,3,6,6,1,52,33,155,7,155,32,155,0,32
126,Otha,126,Field Guide to Home Buying in America,2023-07-10 00:41:59.246412,2023,7,10,0,0,37,32,49,7,49,31,49,0,31
127,Forster,127,Finding Time Again (In Search of Lost Time #7),2024-03-19 06:31:41.313612,2024,3,19,1,0,46,34,231,9,231,34,231,1,34
128,Leonard,128,Year's Happy Ending,2022-11-01 08:59:53.342412,2022,11,1,1,0,19,32,141,3,141,32,141,0,32
129,Gordan,129,Three Men in a Boat and Three Men on the Bummel,2022-02-13 08:24:03.019212,2022,2,13,6,1,47,29,29,11,29,28,29,0,28
130,Franciskus,130,What Do You Care What Other People Think?,2023-09-15 10:36:45.038412,2023,9,15,4,0,41,29,96,8,96,27,96,0,27
131,Olga,131,Dreamer of Dune: The Biography of Frank Herbert,2023-09-16 01:47:50.750412,2023,9,16,5,1,47,32,24,8,24,29,24,0,29
132,Artie,132,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),2022-07-22 08:39:02.875212,2022,7,22,4,0,52,34,32,9,32,33,32,0,33
133,Letizia,133,Blood And Gold (The Vampire Chronicles  #8),2023-04-20 03:32:45.336012,2023,4,20,3,0,43,31,107,7,107,31,107,0,31
134,Helyn,134,Metamorphosis (Star Trek: The Next Generation),2024-10-17 16:55:53.726412,2024,10,17,3,0,46,30,89,6,89,30,89,0,30
135,Mick,135,Soldados de Salamina,2022-05-05 11:56:36.436812,2022,5,5,3,0,20,25,102,3,102,24,102,0,24
136,Emerson,136,Bright Lights  Big Ass,2024-04-21 10:19:37.915212,2024,4,21,6,1,22,26,65,4,65,26,65,0,26
137,Pierrette,137,New Jewish Wedding  Revised,2023-11-13 18:32:41.361612,2023,11,13,0,0,27,35,69,4,69,35,69,0,35
138,Leela,138,The Years of Rice and Salt,2022-02-19 11:27:22.516812,2022,2,19,5,1,26,28,366,6,366,27,366,1,27
139,Marlo,139,Magician: Apprentice Volume 1  (Raymond E. Feist's Magician: Apprentice #1),2023-12-16 12:10:47.995212,2023,12,16,5,1,75,30,125,10,125,30,125,0,30
140,Sylvester,140,Medicus (Gaius Petreius Ruso  #1),2024-05-22 00:14:14.750412,2024,5,22,2,0,33,32,31,5,31,32,31,0,32
141,Tracey,141,Cast in Shadow (Chronicles of Elantra  #1),2024-03-23 01:15:16.036812,2024,3,23,5,1,42,28,52,7,52,28,52,0,28
142,Minny,142,Vita,2024-06-26 16:05:05.534412,2024,6,26,2,0,4,28,132,1,132,26,132,0,26
143,Stacy,143,Wifey / Smart Women,2023-03-02 23:43:24.840012,2023,3,2,3,0,19,30,122,4,122,30,122,0,30
144,Nickolai,144,Ubik,2023-01-29 05:02:31.166412,2023,1,29,6,1,4,26,45,1,45,26,45,0,26
145,Leroy,145,The Leadership Challenge,2024-03-27 01:16:15.220812,2024,3,27,2,0,24,29,30,3,30,28,30,0,28
146,Reece,146,A River Runs Through it and Other Stories,2022-12-06 13:49:58.795212,2022,12,6,1,0,41,35,30,8,30,35,30,0,35
147,Andre,147,Time and Again (Time Travel #1-2),2023-05-29 12:55:47.044812,2023,5,29,0,0,33,35,204,6,204,32,204,1,32
149,Richard,149,Joplin's Ghost,2022-02-05 05:53:23.851212,2022,2,5,5,1,14,29,134,2,134,27,134,0,27
150,Dyann,150,Selected Verse,2023-01-13 10:56:28.372812,2023,1,13,4,0,14,24,70,2,70,24,70,0,24
151,Camille,151,The Amen Corner,2022-12-16 11:08:33.096012,2022,12,16,4,0,15,25,201,3,201,25,201,1,25
152,Franky,152,Common Ground: A Turbulent Decade in the Lives of Three American Families,2022-03-26 16:51:53.102412,2022,3,26,5,1,73,21,304,12,304,18,304,1,18
153,Cully,153,Monte Cook Presents The Year's Best D20 (Volume One),2023-10-17 21:38:37.156812,2023,10,17,1,0,52,26,53,9,53,25,53,0,25
154,Dedra,154,Something Rising,2022-11-12 03:39:05.668812,2022,11,12,5,1,16,25,201,2,201,22,201,1,22
155,Alysa,155,Strange Candy (Anita Blake  Vampire Hunter #0.5),2022-04-27 16:31:35.640012,2022,4,27,2,0,48,24,80,7,80,23,80,0,23
156,Jammal,156,The Commanders,2023-11-06 22:16:22.132812,2023,11,6,0,0,14,19,45,2,45,19,45,0,19
157,Javier,157,Halbschlaf im Froschpyjama,2024-01-22 03:36:54.772812,2024,1,22,0,0,26,21,79,3,79,21,79,0,21
158,Rozamond,158,World's End,2024-06-24 13:49:31.060812,2024,6,24,0,0,11,19,65,2,65,18,65,0,18
161,Addie,161,House of Meetings,2022-08-21 10:56:23.361612,2022,8,21,6,1,17,18,232,3,232,18,232,1,18
162,Avictor,162,Essays and Aphorisms,2023-08-10 21:30:10.334412,2023,8,10,3,0,20,26,221,3,221,26,221,1,26
163,Ardra,163,Sounds  Feelings  Thoughts:  Seventy Poems by Wislawa Szymborska,2024-02-06 22:47:38.049612,2024,2,6,1,0,64,21,38,8,38,19,38,0,19
164,Hayyim,164,The Gospel According to Job,2022-06-22 16:19:41.544012,2022,6,22,2,0,27,26,319,5,319,26,319,1,26
165,Sigfried,165,Frankenstein (SparkNotes Literature Guide),2024-04-21 03:49:53.668812,2024,4,21,6,1,42,22,98,4,98,22,98,0,22
166,Myles,166,The Tent,2022-10-14 03:16:24.782412,2022,10,14,4,0,8,28,26,2,26,26,26,0,26
167,Hervey,167,Female Chauvinist Pigs: Women and the Rise of Raunch Culture,2024-06-29 04:22:04.449612,2024,6,29,5,1,60,27,169,10,169,27,169,0,27
168,Lynsey,168,Mansfield Park,2022-02-09 03:01:39.960012,2022,2,9,2,0,14,24,199,2,199,23,199,1,23
169,Roberto,169,The Second World War,2023-06-13 00:15:53.592012,2023,6,13,1,0,20,19,93,4,93,19,93,0,19
170,Ronnie,170,Who Moved My Cheese?,2022-01-07 22:18:49.704012,2022,1,7,4,0,20,23,103,4,103,23,103,0,23
171,Lucie,171,Sabriel (Abhorsen  #1),2024-12-05 00:33:30.436812,2024,12,5,3,0,22,17,40,3,40,17,40,0,17
172,Gabi,172,The Gate of Fire (Oath Of Empire Book Two),2022-05-28 01:17:53.284812,2022,5,28,5,1,42,22,40,9,40,22,40,0,22
173,Pepillo,173,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,2022-06-03 15:09:48.033612,2022,6,3,4,0,81,25,193,13,193,25,193,1,25
174,Zachery,174,The Handmaid's Tale,2022-01-23 05:56:07.320012,2022,1,23,6,1,19,25,84,3,84,25,84,0,25
175,Trevor,175,Myths of the Norsemen: Retold from the Old Norse Poems and Tales,2022-09-30 09:21:46.449612,2022,9,30,4,0,64,25,136,12,136,25,136,0,25
176,Erena,176,Mayflower Treasure Hunt (A to Z Mysteries: Super Edition  #2),2023-03-31 18:52:41.803212,2023,3,31,4,0,61,20,127,10,127,20,127,0,20
177,Guillemette,177,Wampeters  Foma and Granfalloons,2022-07-21 20:25:17.668812,2022,7,21,3,0,32,23,35,4,35,23,35,0,23
179,Carver,179,An Unofficial Rose,2022-12-19 04:01:43.531212,2022,12,19,0,0,18,24,118,3,118,23,118,0,23
180,Shay,180,Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,2024-01-16 18:22:21.528012,2024,1,16,1,0,67,23,34,11,34,23,34,0,23
181,Faber,181,Fates Worse Than Death,2023-09-27 00:25:34.372812,2023,9,27,2,0,22,23,40,4,40,23,40,0,23
182,Randal,182,Gilliam on Gilliam (Directors on Directors),2022-08-18 23:51:46.305612,2022,8,18,3,0,43,27,106,6,106,27,106,0,27
183,Urbanus,183,The Brothers Lionheart,2023-07-10 02:47:12.331212,2023,7,10,0,0,22,27,223,3,223,27,223,1,27
184,Ruttger,184,Beatrix Potter's Journal,2022-03-27 08:10:11.419212,2022,3,27,6,1,24,23,73,3,73,21,73,0,21
185,Cad,185,Battlefield of the Mind: Winning the Battle in Your Mind,2023-01-03 22:55:12.340812,2023,1,3,1,0,56,22,36,10,36,21,36,0,21
186,Constance,186,War and Remembrance (The Henry Family  #2),2023-02-11 03:54:36.715212,2023,2,11,5,1,42,18,144,7,144,17,144,0,17
187,Miner,187,Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),2022-08-03 02:36:13.272012,2022,8,3,2,0,88,26,330,14,330,26,330,1,26
188,Jonell,188,Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein,2022-05-25 20:58:45.518412,2022,5,25,2,0,67,19,121,10,121,18,121,0,18
189,Yance,189,Fanta C (Loveswept   #217),2023-11-23 10:00:51.172812,2023,11,23,3,0,26,26,240,4,240,25,240,1,25
190,Lyndy,190,Red Rabbit (Jack Ryan  #2),2024-05-08 02:54:07.483212,2024,5,8,2,0,26,21,112,5,112,21,112,0,21
191,Esmeralda,191,The Complete Dick Tracy Volume 1: 1931-1933,2024-04-18 18:26:55.416012,2024,4,18,3,0,43,17,89,7,89,17,89,0,17
192,Abraham,192,Scales of the Serpent (Diablo: The Sin War  #2),2024-04-22 21:01:03.412812,2024,4,22,0,0,47,22,177,9,177,21,177,0,21
193,Jodie,193,Best of London (Lonely Planet Best Of),2024-03-16 19:02:18.264012,2024,3,16,5,1,38,16,246,7,246,16,246,1,16
194,Dorelia,194,The Red Notebook: True Stories,2024-02-05 00:14:33.844812,2024,2,5,0,0,30,23,29,5,29,22,29,0,22
195,Edward,195,Winter of Magic's Return,2022-08-27 13:07:23.860812,2022,8,27,5,1,24,22,34,4,34,20,34,0,20
196,Dusty,196,The Fellowship of the Ring (The Lord of the Rings  #1),2023-11-06 01:38:42.628812,2023,11,6,0,0,54,21,269,11,269,19,269,1,19
197,Koralle,197,Until I Find You,2022-07-06 12:41:28.660812,2022,7,6,2,0,16,18,492,4,492,18,492,1,18
198,Lynette,198,Hickory Dickory Dock (Hercule Poirot  #32),2024-06-27 05:46:05.457612,2024,6,27,3,0,42,21,138,6,138,19,138,0,19
199,Bjorn,199,A Pinch of Poison (Hemlock Falls Mysteries  #3),2023-12-29 09:00:15.201612,2023,12,29,4,0,47,20,65,8,65,18,65,0,18
